业务板块,业务类型,序号,细分场景,内部处理办法及流程,对客话术,涉及反馈部门/微信群/工单模板,图片示例,,
售前业务,客服热线,1,解悠客服热线,注：正确引导客户咨询业务涉及的客服，请勿把解悠客服可以解决的问题，引导客户咨询其他平台客服。,"您好，我们的客服团队随时为您提供支持。

服务热线：4000-543-986

服务时间：每日 8:00 至 21:30",/,,,
售前业务,客服热线,2,全国ETC高速热线,,您若在高速通行中需要帮助，随时可以拨打全国统一热线 95022，他们会为您提供支持。,/,,,
售前业务,客服热线,3,千方客服热线,,千方24小时服务热线：4006-898-888,/,,,
售前业务,客服热线,4,普惠客服热线,,"普惠客服热线：95787
客服电话热线时间：9：00至18：00；
在线客服咨询时间：8：00至19：00。",/,,,
售前业务,客服热线,5,宝付客服热线,,宝付客服24小时服务热线：021-68811008,/,,,
售前业务,客服热线,6,长治国道自由流客服热线,,长治国道自由流客服热线：0355-3599888,/,,,
售前业务,客服热线,7,狮桥客服电话,,狮桥客服电话：95787,/,,,
售前业务,客服热线,8,满帮客服热线,,满帮客服热线：95006,/,,,
售前业务,咨询类,1,解悠ETC新办要求？,/,"【解悠ETC新办指南】
适用车辆：支持全品牌货车及专项作业车。
年龄要求：办理人需年满21周岁，且不超过63周岁。
所需材料：
1.办理人身份证
2.本人银行卡
3.车辆行驶证
4.45°车头照片",/,,,
售前业务,咨询类,2,解悠ETC享受高速折扣是多少？,/,"【解悠ETC通行费折扣说明】
您好！解悠ETC的折扣政策与各省官方保持同步，您可享受的优惠如下：
全国通用：绝大多数高速公路享受 95折 优惠。
特定省份优惠：在以下省份的指定路段，可享受更低的 85折 优惠：
山东省：全省高速公路。
广东省、浙江省：大部分高速公路。
安徽省、江苏省：部分指定高速公路。
（具体优惠路段以各省官方最新发文为准。）
请您放心，目前各地的优惠通行政策，解悠ETC均可正常享受，不会存在差异。

【细分场景对客话术】
场景1：客户追问安徽具体哪些路段有85折？
话术：您好，目前在安徽省，以下6个路段是明确享受85折优惠的：德上高速安徽段、徐明高速+明巢高速、宁洛高速安徽段、杭瑞高速+黄浮高速安徽段、滁合周高速、天天高速、建议您出行前也可通过官方渠道再次确认，
场景2：客户追问江苏具体哪些路段有85折？
400热线客服话术：您好，江苏省享受85折优惠的路段非常丰富，为了确保您获得最准确、完整的清单，我建议您联系我们的在线客服。他们可以即时为您发送一份详细的文字版路段明细，方便您随时查阅和保存。您看这样可以吗？

在线客服话术：您好，江苏省内享受85折优惠的路段较多，我为您列出，请您留意查阅：
宁宣高速公路宁高段、通启高速公路小海至崇启主线、无锡环太湖高速公路
盐徐高速公路步凤枢纽至九龙口枢纽、连霍渔湾主线站至邳州西段、通锡高速公路锡张段
新扬高速公路宿新段、南京绕越高速公路东北段、宁扬高速公路横梁北互通-蒋王互通
金湖至马坝高速公路、阜宁至建湖高速公路、通洋高速公路(一期)
溧芜高速公路高淳至芜湖段、常溧高速公路、张家港疏港高速公路
泰州至镇江高速公路泰州至高港段、盐洛高速公路大丰港至盐城段、徐明高速公路江苏段
宿州至扬州高速公路江苏段(宿迁.淮安段)、阜兴泰高速公路兴化至泰州段
泰州至镇江高速公路镇江新区至丹阳段、启扬高速公路栟茶互通至启东北枢纽
溧阳至高淳高速公路、溧阳至宁德高速公路江苏段、高淳至宣城高速公路江苏段
射阳至盐城高速公路、连云港至宿迁高速公路沭阳至宿豫段、建兴高速公路、宿泗高速公路
通洋高速公路(二期)、南通绕城高速骑岸枢纽至海门东主线
滨淮高速公路、苏台高速公路七都至桃源段、苏锡常南部通道太湖隧道 (不低于85折优惠)
宁扬长江大桥 (不低于85折优惠)
以上路段供您参考，具体折扣力度以通行时系统结算为准。",/,,,
售前业务,咨询类,3,一个人最多可以办多少台车的ETC？,全网累计不超过50台（所有ETC品牌）,"【关于个人名下ETC办理数量说明】

总规则：根据系统规定，同一身份信息在全国范围内最多可申请办理50台ETC。

重要提示：此限额是您在所有平台（包括解悠及其他任何平台）的累计数量。

示例说明：例如，若您已在其他平台成功办理过10台（无论当前是否注销），那么在解悠平台最多还可办理40台。",/,,,
